icao,iata,name,location,country,timezone,hub,lat,lon
LROD,OMR,Oradea International Airport,Oradea,RO,Europe/Bucharest,0,47.0252990723,21.9025001526
LROP,OTP,Henri Coanda International Airport,Bucharest,RO,Europe/Bucharest,0,44.5722007751,26.1021995544
LRSB,SBZ,Sibiu International Airport,Sibiu,RO,Europe/Bucharest,0,45.7855987549,24.091299057
LRSM,SUJ,Satu Mare Airport,Satu Mare,RO,Europe/Bucharest,0,47.7033004761,22.8857002258
LRSV,SCV,Suceava Stefan cel Mare Airport,Suceava,RO,Europe/Bucharest,0,47.6875,26.3540992737
LRTC,TCE,Tulcea Airport,Tulcea,RO,Europe/Bucharest,0,45.0625,28.7143001556
LRTM,TGM,Transilvania Targu Mures International Airport,Targu Mures,RO,Europe/Bucharest,0,46.4677009583,24.4125003815
LRTR,TSR,Timisoara Traian Vuia Airport,Timisoara,RO,Europe/Bucharest,0,45.8098983765,21.3379001617
LRTZ,default,Tuzla Romania Airport,Tuzla,RO,Europe/Bucharest,0,43.9841995239,28.6096992493
LS00,default,Whitehead Ultralightport,Zachary,US,America/Chicago,0,30.6755008698,-91.1143035889
LS03,default,Stephen's Flying Service Airport,Winnsboro,US,America/Chicago,0,32.2933006287,-91.5932998657
LS04,default,Bobby Jones Flying Service Inc Airport,Mangham,US,America/Chicago,0,32.3166999817,-91.8395004272
LS09,default,Sylvester's Airport,Ville Platte,US,America/Chicago,0,30.6958007813,-92.3175964355
LS10,default,Reynolds Airport,Westlake,US,America/Chicago,0,30.2721004486,-93.3117980957
LS11,default,Liddieville Airport,Winnsboro,US,America/Chicago,0,32.1534996033,-91.8436965942
LS14,default,Lyon Airport,Thornwell,US,America/Chicago,0,30.0709991455,-92.8251037598
LS16,default,Circle G Airport,Jigger,US,America/Chicago,0,32.0112991333,-91.7550964355
LS18,default,Ag Aviation Airport,Welsh,US,America/Chicago,0,30.2238998413,-92.7786026001
LS21,default,Southland Strip Ultralightport,Houma,US,America/Chicago,0,29.6704998016,-90.7705993652
LS25,default,Annison Private Airport,Slaughter,US,America/Chicago,0,30.7045993805,-91.0606994629
LS34,default,Bordelon Airpark,Breaux Bridge,US,America/Chicago,0,30.3066997528,-91.8764038086
LS35,default,Nauga Field,St Francisville,US,America/Chicago,0,30.7625007629,-91.2772979736
LS36,default,Light Plane Flyers Airfield,Iowa,US,America/Chicago,0,30.2502002716,-92.9720001221
LS38,default,Richard's Airport,New Iberia,US,America/Chicago,0,30.0130996704,-91.8692016602
LS39,default,Country Bend Airport,Watson,US,America/Chicago,0,30.5893993378,-90.9845962524
LS40,default,St Charles Airport,Ama,US,America/Chicago,0,29.9519004822,-90.2861022949
LS41,default,Tater Patch Ultralightport,Blanchard,US,America/Chicago,0,32.5671005249,-93.8788986206
LS43,default,Southland Strip Nr 2 Ultralightport,Gray,US,America/Chicago,0,29.6718997955,-90.7676010132
LS44,default,Ken Guidry No 3 Airport,Kaplan,US,America/Chicago,0,30.0898990631,-92.3436965942
LS46,default,Blount Airport,Monterey,US,America/Chicago,0,31.4584999084,-91.8228988647
LS49,default,Simpson Airport,Plaquemine,US,America/Chicago,0,30.3027000427,-91.2714996338
LS54,default,Brian's Ultralightport,Zachary,US,America/Chicago,0,30.6919002533,-91.1875991821
LS59,default,La Petite Airdrome Ultralightport,Opelousas,US,America/Chicago,0,30.6294002533,-92.1878967285
LS68,default,Ken Guidry Nr 1 Airport,Abbeville,US,America/Chicago,0,29.9347000122,-92.2135009766
LS69,default,L J Earnest Airport,Benton,US,America/Chicago,0,32.6435012817,-93.662399292
LS72,default,Aerolite Aero Park Ultralightport,Welsh,US,America/Chicago,0,30.202999115,-92.8121032715
LS76,default,Hickham Field,Covington,US,America/Chicago,0,30.4626998901,-90.1700973511
LS77,default,A & P Airpark,Slaughter,US,America/Chicago,0,30.7271003723,-91.1485977173
LS83,default,Kifer Airport,Newellton,US,America/Chicago,0,32.0626564026,-91.2542800903
LS86,default,Le Blanc Field,Hammond,US,America/Chicago,0,30.6819000244,-90.4192962646
LS89,default,Sara Field,St Francisville,US,America/Chicago,0,30.9466991425,-91.4749984741
LS90,default,Caddo Detention Center Airport,Shreveport,US,America/Chicago,0,32.2624015808,-93.9356994629
LS91,default,Tim Bullard Memorial Airport,Arnaudville,US,America/Chicago,0,30.4172000885,-91.9736022949
LS92,default,Koenig Airpark,Robert,US,America/Chicago,0,30.5974006653,-90.31590271
LS93,default,Greenwood Plantation Ultralightport,Gibson,US,America/Chicago,0,29.6107997894,-90.898399353
LSGB,default,Bex Airport,Bex,CH,Europe/Zurich,0,46.2583007813,6.9863901138
LSGC,default,Les Eplatures Airport,La Chaux-de-Fonds,CH,Europe/Zurich,0,47.0839004517,6.792840004
LSGE,default,Ecuvillens Airport,default,CH,Europe/Zurich,0,46.7550010681,7.0761098862
LSGG,GVA,Geneva Cointrin International Airport,Geneva,CH,Europe/Paris,0,46.2380981445,6.1089501381
LSGK,default,Saanen Airport,Saanen,CH,Europe/Zurich,0,46.4874992371,7.2508301735
LSGL,QLS,Lausanne-la Blecherette Airport,Lausanne,CH,Europe/Zurich,0,46.54529953,6.6166701317
LSGN,QNC,Neuchatel Airport,default,CH,Europe/Zurich,0,46.9575004578,6.8647198677
LSGP,default,La Cote Airport,La Cote,CH,Europe/Zurich,0,46.4063987732,6.2580599785
LSGR,default,Reichenbach Air Base,default,CH,Europe/Zurich,0,46.6136016846,7.6777801514
LSGS,SIR,Sion Airport,Sion,CH,Europe/Zurich,0,46.2196006775,7.3267598152
LSGT,default,Gruyeres Airport,default,CH,Europe/Zurich,0,46.5942001343,7.0944399834
LSGY,default,Yverdon-les-Bains Airport,Yverdon-les-Bains,CH,Europe/Zurich,0,46.7619018555,6.6133298874
LSMA,default,Alpnach Air Base,Alpnach,CH,Europe/Zurich,0,46.943901062,8.2841701508
LSMD,default,Dubendorf Airport,Zurich,CH,Europe/Zurich,0,47.398601532,8.648229599
LSME,default,Emmen Airport,default,CH,Europe/Zurich,0,47.0923995972,8.3051204681
LSMF,default,Mollis Airport,default,CH,Europe/Zurich,0,47.0788993835,9.0648298264
LSMI,ZIN,Interlaken Air Base,default,CH,Europe/Zurich,0,46.6766014099,7.8790798187
LSMJ,default,Turtman Air Base,Turtman,CH,Europe/Zurich,0,46.3026008606,7.7139501572
LSML,default,Lodrino Air Base,Lodrino,CH,Europe/Zurich,0,46.2958984375,8.9921302795
LSMM,default,Meiringen Airport,default,CH,Europe/Zurich,0,46.7433013916,8.1099996567
LSMP,default,Payerne Airport,default,CH,Europe/Zurich,0,46.8432006836,6.9150600433
LSPA,default,Amlikon Glider Airport,default,CH,Europe/Zurich,0,47.5741996765,9.0474996567
LSPD,default,Dittingen Airport,default,CH,Europe/Zurich,0,47.4385986328,7.4913902283
LSPF,default,Schaffhausen Airport,default,CH,Europe/Zurich,0,47.6906013489,8.5269403458
LSPG,default,Kagiswil Airport,default,CH,Europe/Zurich,0,46.9082984924,8.2541704178
LSPH,default,Winterthur Airport,Winterthur,CH,Europe/Zurich,0,47.5149993896,8.7719402313
LSPK,default,Hasenstrick Airport,default,CH,Europe/Zurich,0,47.2799987793,8.881939888
LSPL,default,Langenthal Airport,default,CH,Europe/Zurich,0,47.182800293,7.7413902283
LSPM,default,Ambri Airport,Quinto,CH,Europe/Zurich,0,46.5125007629,8.6897802353
LSPN,default,Triengen Airport,default,CH,Europe/Zurich,0,47.2266998291,8.0780601501
LSPO,default,Olten Airport,default,CH,Europe/Zurich,0,47.3443984985,7.8894400597
LSPU,default,Muenster Aero Airport,default,CH,Europe/Zurich,0,46.4803009033,8.2633304596
LSPV,default,Wangen-Lachen Airport,default,CH,Europe/Zurich,0,47.20470047,8.8675003052
LSTA,default,Raron Airport,Raron,CH,Europe/Zurich,0,46.3036003113,7.8233299255
LSTB,default,Bellechasse Airport,default,CH,Europe/Zurich,0,46.9794006348,7.1322197914
LSTO,default,Motiers Airport,default,CH,Europe/Zurich,0,46.9166984558,6.6149997711
LSTR,default,Montricher Airport,default,CH,Europe/Zurich,0,46.5903015137,6.4005599022
LSTS,default,St Stephan Airport,default,CH,Europe/Zurich,0,46.4973983765,7.4125699997
LSTZ,default,Zweisimmen Airport,default,CH,Europe/Zurich,0,46.5525016785,7.3805599213
LSXV,default,San Vittore Airport,default,CH,Europe/Zurich,0,46.2341995239,9.0941696167
LSZA,LUG,Lugano Airport,Lugano,CH,Europe/Zurich,0,46.0042991638,8.9105796814
LSZB,BRN,Bern Belp Airport,Bern,CH,Europe/Zurich,0,46.914100647,7.4971499443
LSZC,BXO,Buochs Airport,Buochs,CH,Europe/Zurich,0,46.9744444444,8.3969444444
LSZE,default,Bad Ragaz Airport,default,CH,Europe/Zurich,0,47.0149993896,9.4819402695
LSZF,default,Birrfeld Airport,default,CH,Europe/Zurich,0,47.4435997009,8.2336101532
LSZG,ZHI,Grenchen Airport,default,CH,Europe/Zurich,0,47.1815986633,7.4171900749
LSZH,ZRH,Zurich Airport,Zurich,CH,Europe/Zurich,0,47.4646987915,8.5491695404
LSZI,default,Fricktal-Schupfart Airport,default,CH,Europe/Berlin,0,47.5088996887,7.9499998093
LSZJ,default,Courtelary Airport,default,CH,Europe/Zurich,0,47.1836013794,7.0908298492
LSZK,default,Speck-Fehraltorf Airport,default,CH,Europe/Zurich,0,47.3763999939,8.7574996948
LSZL,ZJI,Locarno Airport,default,CH,Europe/Zurich,0,46.1608009338,8.8786096573
LSZM,MLH,EuroAirport Basel-Mulhouse-Freiburg Airport,Bale/Mulhouse,CH,Europe/Paris,0,47.5895996094,7.5299100876
LSZN,default,Hausen am Albis Airport,default,CH,Europe/Zurich,0,47.2386016846,8.5155601501
LSZO,default,Luzern-Beromunster Airport,Lucerne,CH,Europe/Zurich,0,47.1899986267,8.2047195435
LSZP,default,Biel-Kappelen Airport,default,CH,Europe/Zurich,0,47.0891990662,7.2899999619
LSZQ,default,Bressaucourt Airport,Bressaucourt,CH,Europe/Zurich,0,47.392677,7.028648
LSZR,ACH,St Gallen Altenrhein Airport,Altenrhein,CH,Europe/Vienna,0,47.4850006104,9.5607700348
LSZS,SMV,Samedan Airport,default,CH,Europe/Zurich,0,46.5340995789,9.8841104507
LSZT,default,Lommis Airfield,Lommis,CH,Europe/Zurich,0,47.5243988037,9.0030603409
LSZU,default,Buttwil Airport,default,CH,Europe/Zurich,0,47.2647018433,8.3024997711
LSZV,default,Sitterdorf Airport,default,CH,Europe/Zurich,0,47.5088996887,9.2627801895
LSZW,default,Thun Airport,Thun,CH,Europe/Zurich,0,46.756401062,7.6005601883
LSZX,default,Schanis Airport,default,CH,Europe/Zurich,0,47.1716995239,9.039440155
LTAB,default,Guvercinlik Airport,Ankara,TR,Europe/Istanbul,0,39.9350013733,32.7407989502
LTAC,ESB,Esenboga International Airport,Ankara,TR,Europe/Istanbul,0,40.1281013489,32.995098114
LTAD,ANK,Etimesgut Air Base,Ankara,TR,Europe/Istanbul,0,39.949798584,32.6885986328
LTAE,default,Akinci Air Base,Ankara,TR,Europe/Istanbul,0,40.0788993835,32.5656013489
LTAF,ADA,Adana Airport,Adana,TR,Europe/Istanbul,0,36.9822006226,35.2803993225
LTAG,UAB,Incirlik Air Base,Adana,TR,Europe/Istanbul,0,37.0021018982,35.4258995056
LTAH,AFY,Afyon Airport,Afyonkarahisar,TR,Europe/Istanbul,0,38.726398468,30.6011009216
LTAI,AYT,Antalya International Airport,Antalya,TR,Europe/Istanbul,0,36.8987007141,30.8005008698
LTAJ,GZT,Gaziantep International Airport,Gaziantep,TR,Europe/Istanbul,0,36.9472007751,37.4786987305
LTAK,default,Iskenderun Airport,Iskenderun,TR,Europe/Istanbul,0,36.5744552612,36.1534194946
LTAL,KFS,Kastamonu Airport,Kastamonu,TR,Europe/Istanbul,0,41.314201355,33.7957992554
LTAN,KYA,Konya Airport,Konya,TR,Europe/Istanbul,0,37.9790000916,32.5619010925
LTAO,default,Malatya Tulga Airport,Malatya,TR,Europe/Istanbul,0,38.3536987305,38.2538986206
LTAP,MZH,Amasya Merzifon Airport,Amasya,TR,Europe/Istanbul,0,40.8293991089,35.5219993591
LTAQ,SSX,Samsun Samair Airport,Samsun,TR,Europe/Istanbul,0,41.2786445618,36.3051795959
LTAR,VAS,Sivas Airport,Sivas,TR,Europe/Istanbul,0,39.8138008118,36.9034996033
LTAS,ONQ,Zonguldak Airport,Zonguldak,TR,Europe/Istanbul,0,41.506401062,32.0886001587
LTAT,MLX,Malatya Erhac Airport,Malatya,TR,Europe/Istanbul,0,38.4352989197,38.0909996033
LTAU,ASR,Kayseri Erkilet Airport,Kayseri,TR,Europe/Istanbul,0,38.770401001,35.4953994751
LTAV,default,Sivrihisar Airport,Sivrihisar,TR,Europe/Istanbul,0,39.451499939,31.3652992249
LTAW,TJK,Tokat Airport,Tokat,TR,Europe/Istanbul,0,40.3074302673,36.3674087524
LTAY,DNZ,Cardak Airport,Denizli,TR,Europe/Istanbul,0,37.7855987549,29.7012996674
LTAZ,NAV,Nevsehir Kapadokya International Airport,Nevsehir,TR,Europe/Istanbul,0,38.771900177,34.5345001221
LTBA,ISL,Ataturk International Airport,Istanbul,TR,Europe/Istanbul,0,40.9768981934,28.8145999908
LTFM,IST,Istanbul Airport,Arnavutkoy,TR,Europe/Istanbul,0,41.262222,28.727778
LTBC,default,Alasehir Airport,Alasehir,TR,Europe/Istanbul,0,38.3699989319,28.557100296
LTBD,CII,Cildir Airport,Aydin,TR,Europe/Istanbul,0,37.8149986267,27.8952999115
LTBE,BTZ,Bursa Airport,Bursa,TR,Europe/Istanbul,0,40.2332992554,29.0091991425
LTBF,BZI,Balikesir Merkez Airport,Balikesir,TR,Europe/Istanbul,0,39.6193008423,27.9260005951
LTBG,BDM,Bandirma Airport,Bandirma,TR,Europe/Istanbul,0,40.3180007935,27.9776992798
LTBH,CKZ,Canakkale Airport,Canakkale,TR,Europe/Istanbul,0,40.1376991272,26.4267997742
LTBI,ESK,Eskisehir Air Base,Eskisehir,TR,Europe/Istanbul,0,39.7840995789,30.5820999146
LTBJ,ADB,Adnan Menderes International Airport,Izmir,TR,Europe/Istanbul,0,38.2924003601,27.156999588
LTBK,default,Gaziemir Airport,default,TR,Europe/Istanbul,0,38.3190994263,27.1594009399
LTBL,IGL,Cigli Airport,Izmir,TR,Europe/Istanbul,0,38.5130004883,27.010099411
LTBM,default,Isparta Airport,default,TR,Europe/Istanbul,0,37.7851219177,30.5900192261
LTBN,default,Kutahya Airport,Kutahya,TR,Europe/Istanbul,0,39.426700592,30.0168991089
LTBO,USQ,Usak Airport,Usak,TR,Europe/Istanbul,0,38.6814994812,29.4717006683
LTBP,default,Yalova Airport,Ciftlikkoy,TR,Europe/Istanbul,0,40.6843986511,29.3756999969
LTBQ,KCO,Cengiz Topel Airport,default,TR,Europe/Istanbul,0,40.7350006104,30.0832996368
LTBR,YEI,Bursa Yenisehir Airport,Bursa,TR,Europe/Istanbul,0,40.2551994324,29.5625991821
LTBS,DLM,Dalaman International Airport,Dalaman,TR,Europe/Istanbul,0,36.7131004333,28.7924995422
LTBT,default,Akhisar Airport,default,TR,Europe/Istanbul,0,38.8088989258,27.8339004517
LTBU,TEQ,Tekirdag Corlu Airport,Corlu,TR,Europe/Istanbul,0,41.1381988525,27.9190998077
LTBV,BXN,Imsik Airport,Bodrum,TR,Europe/Istanbul,0,37.1400985718,27.6697006226
LTBW,default,Istanbul Hezarfen Airfield,Istanbul,TR,Europe/Istanbul,0,41.1035995483,28.547700882
LTBX,default,Samandira Air Base,Umraniye,TR,Europe/Istanbul,0,40.9930000305,29.2164993286
LTBY,AOE,Anadolu University Airport,Eskisehir,TR,Europe/Istanbul,0,39.8098983765,30.5193996429
LTBZ,KZR,Zafer Airport,Altintas,TR,Europe/Istanbul,0,39.1090247,30.1371297052
LTCA,EZS,Elazig Airport,Elazig,TR,Europe/Istanbul,0,38.6068992615,39.2914009094
LTCB,OGU,Ordu–Giresun Airport,Ordu,TR,Europe/Istanbul,0,40.966667,38.08
LTCC,DIY,Diyarbakir Airport,Diyarbakir,TR,Europe/Istanbul,0,37.893901825,40.2010002136
LTCD,ERC,Erzincan Airport,Erzincan,TR,Europe/Istanbul,0,39.7102012634,39.5270004272
LTCE,ERZ,Erzurum International Airport,Erzurum,TR,Europe/Istanbul,0,39.9565010071,41.1702003479
LTCF,KSY,Kars Airport,Kars,TR,Europe/Istanbul,0,40.5621986389,43.1150016785
LTCG,TZX,Trabzon International Airport,Trabzon,TR,Europe/Istanbul,0,40.995098114,39.7896995544
LTCH,SFQ,Sanliurfa Airport,Sanliurfa,TR,Europe/Istanbul,0,37.0942993164,38.8470993042
LTCI,VAN,Van Ferit Melen Airport,Van,TR,Europe/Istanbul,0,38.4682006836,43.3322982788
LTCJ,BAL,Batman Airport,Batman,TR,Europe/Istanbul,0,37.9290008545,41.1166000366
LTCK,MSR,Mus Airport,Mus,TR,Europe/Istanbul,0,38.7477989197,41.6612014771
LTCL,SXZ,Siirt Airport,Siirt,TR,Europe/Istanbul,0,37.9789009094,41.8404006958
LTCM,NOP,Sinop Airport,Sinop,TR,Europe/Istanbul,0,42.0158004761,35.0663986206
LTCN,KCM,Kahramanmaras Airport,Kahramanmaras,TR,Europe/Istanbul,0,37.5388259888,36.9535217285
LTCO,AJI,Agri Airport,Agri,TR,Europe/Istanbul,0,39.6545410156,43.0259780884
LTCP,ADF,Adiyaman Airport,Adiyaman,TR,Europe/Istanbul,0,37.7313995361,38.4688987732
LTCR,MQM,Mardin Airport,Mardin,TR,Europe/Istanbul,0,37.2233009338,40.6316986084
LTCS,GNY,Sanliurfa GAP Airport,Sanliurfa,TR,Europe/Istanbul,0,37.4456634521,38.8955917358
LTCT,IGD,Igdir Airport,Igdir,TR,Europe/Istanbul,0,39.9766273499,43.8766479492
LTCW,YKO,Hakkari Yuksekova Airport,Yuksekova,TR,Europe/Istanbul,0,37.551667,44.233611
LTDA,HTY,Hatay Airport,Hatay,TR,Europe/Istanbul,0,36.36277771,36.2822227478
LTFA,default,Kaklic Airport,Izmir,TR,Europe/Istanbul,0,38.5176010132,26.977399826
LTFB,default,Selcuk Efes Airport,Selcuk,TR,Europe/Istanbul,0,37.9506988525,27.329000473
LTFC,ISE,Suleyman Demirel International Airport,Isparta,TR,Europe/Istanbul,0,37.8554000854,30.3684005737
LTFD,EDO,Balikesir Korfez Airport,Edremit,TR,Europe/Istanbul,0,39.554599762,27.0137996674
LTFE,BJV,Milas Bodrum International Airport,Bodrum,TR,Europe/Istanbul,0,37.2505989075,27.6643009186
LTFG,GZP,Gazipasa Airport,Gazipasa,TR,Europe/Istanbul,0,36.2992172241,32.3005981445
LTFH,SZF,Samsun Carsamba Airport,Samsun,TR,Europe/Istanbul,0,41.2545013428,36.5671005249
LTFJ,SAW,Sabiha Gokcen International Airport,Istanbul,TR,Europe/Istanbul,0,40.898601532,29.3092002869
LTFK,GKD,Imroz Airport,Gokceada,TR,Europe/Istanbul,0,40.204498291,25.8833007812
LTXE,default,Karain Airport,Antalya,TR,Europe/Istanbul,0,37.0964431763,30.6477355957
LUBL,BZY,Balti International Airport,Strymba,MD,Europe/Chisinau,0,47.8381004333,27.7814998627
LUBM,default,Marculesti International Airport,Marculesti,MD,Europe/Chisinau,0,47.862701416,28.2127990723
LUCH,default,Cahul International Airport,Cahul,MD,Europe/Chisinau,0,45.8437995911,28.2637004852
LUCL,default,Chadyr Lunga Airport,default,MD,Europe/Chisinau,0,46.034994,28.851844
LUKK,KIV,Chisinau International Airport,Chisinau,MD,Europe/Chisinau,0,46.9277000427,28.9309997559
LUTR,default,Tiraspol Airport,Tiraspol,MD,Europe/Chisinau,0,46.8680992126,29.5905990601
LW75,default,Stenkovec Brazda Airport,Brazda,MK,Europe/Skopje,0,42.0591011047,21.3910007477
LWOH,OHD,Ohrid St. Paul the Apostle Airport,Ohrid,MK,Europe/Skopje,0,41.1800003052,20.7423000336
LWSK,SKP,Skopje Alexander the Great Airport,Skopje,MK,Europe/Skopje,0,41.9616012573,21.6214008331
LXGB,GIB,Gibraltar Airport,Gibraltar,GI,Europe/Gibraltar,0,36.1511993408,-5.3496599197
LY87,default,Kovin Airport,default,RS,Europe/Belgrade,0,44.7743,20.9613
LYBE,BEG,Belgrade Nikola Tesla Airport,Belgrad,RS,Europe/Belgrade,0,44.8184013367,20.3090991974
LYBJ,default,Airport Lisicji Jarak,Belgrade,RS,Europe/Belgrade,0,44.9369583333,20.4425555556
LYBO,default,Bor Airport,Bor,RS,Europe/Belgrade,0,44.0181999207,22.1371002197
LYBR,IVG,Berane Airport,Berane,ME,Europe/Podgorica,0,42.8390007019,19.8619995117
LYBT,BJY,Batajnica Air Base,Batajnica,RS,Europe/Belgrade,0,44.935299,20.2575
LYKI,default,Kikinda Airport,Kikinda,RS,Europe/Belgrade,0,45.768122,20.417261
LYKV,default,Ladevci Airport,Kraljevo,RS,Europe/Belgrade,0,43.818298,20.5872
LYNI,INI,Nis Airport,Nis,RS,Europe/Belgrade,0,43.337299,21.853701
LYNK,default,Niksic Airport,Niksic,ME,Europe/Podgorica,0,42.7737007141,18.9148006439
LYNS,QND,Cenej Airport,Novi Sad,RS,Europe/Belgrade,0,45.385799,19.839199
LYPG,TGD,Podgorica Airport,Podgorica,ME,Europe/Podgorica,0,42.3594017029,19.2518997192
LYPO,default,Cemovsko Polje Airport,Podgorica,ME,Europe/Podgorica,0,42.4223175049,19.2907772064
LYPT,default,Batlava-Donja Penduha Airfield,Batlava,KS,Europe/Belgrade,0,42.845500946,21.2199993134
LYSM,default,Veliki Radinci Airfield,Sremska Mitrovica,RS,Europe/Belgrade,0,45.037453,19.660661
LYSP,default,Rudine airfield,Smederevska palanka,RS,Europe/Belgrade,0,44.3513888889,20.96
LYSU,default,Subotica Airport,Subotica,RS,Europe/Belgrade,0,46.022837,19.706454
LYTR,default,Trstenik Airport,default,RS,Europe/Belgrade,0,43.614189,21.030217
LYTV,TIV,Tivat Airport,Tivat,ME,Europe/Podgorica,0,42.4047012329,18.7233009338
LYUZ,UZC,Ponikve Airport,Uzice,RS,Europe/Belgrade,0,43.898899,19.697701
LYVA,QWV,Divci Airport,Valjevo,RS,Europe/Belgrade,0,44.2978166667,20.0219111111
LYVR,default,Vrsac International Airport,default,RS,Europe/Belgrade,0,45.1469,21.3099
LYZR,ZRE,Zrenjanin Airport,Zrenjanin,RS,Europe/Belgrade,0,45.339756,20.454078
LZDB,default,Dubnica Glider Airport,Dubnica nad Vahom,SK,Europe/Bratislava,0,48.9968986511,18.192199707
LZHL,default,Holic Airport,Holic,SK,Europe/Bratislava,0,48.8103,17.1338
LZIB,BTS,M. R. Stefanik Airport,Bratislava,SK,Europe/Bratislava,0,48.1702003479,17.2126998901
LZKC,default,Kamenica nad Cirochou Airport,Kamenica nad Cirochou,SK,Europe/Bratislava,0,48.937,21.9952
LZKS,default,Kralova pri Senci Airport,Senec,SK,Europe/Bratislava,0,48.2010993958,17.4719009399
LZKZ,KSC,Kosice Airport,Kosice,SK,Europe/Bratislava,0,48.6631011963,21.2411003113
LZLU,LUE,Lucenec Airport,Lucenec,SK,Europe/Bratislava,0,48.3394012451,19.7357997894
LZMA,default,Martin Glider Airport,Martin,SK,Europe/Bratislava,0,49.0652999878,18.950799942
LZMC,default,Malacky Air Base,Malacky,SK,Europe/Bratislava,0,48.4020004272,17.1184005737
LZNI,default,Nitra Glider Airport,Nitra,SK,Europe/Bratislava,0,48.2793998718,18.1327991486
LZPE,default,Prievidza Glider Airport,Prievidza,SK,Europe/Bratislava,0,48.7661018372,18.5867004395
LZPP,PZY,Piestany Airport,Piestany,SK,Europe/Bratislava,0,48.6251983643,17.8283996582
LZPT,default,Male Bielice Glider Airport,Partizanske,SK,Europe/Bratislava,0,48.6192016602,18.32970047
LZPW,POV,Presov Air Base,Presov,SK,Europe/Bratislava,0,49.0297012329,21.3155994415
LZSE,default,Senica Airport,Senica,SK,Europe/Bratislava,0,48.6568984985,17.3321990967
LZSK,default,Svidnik Airport,Svidnik,SK,Europe/Bratislava,0,49.3339004517,21.5702991486
LZSL,SLD,Sliac Airport,Sliac,SK,Europe/Bratislava,0,48.6377983093,19.1340999603
LZSV,default,Spisska Nova Glider Airport,Spisska Nova Ves,SK,Europe/Bratislava,0,48.9407997131,20.5338993073
LZTN,default,Trencin Air Base,Trencin,SK,Europe/Bratislava,0,48.8650016785,17.9923000336
LZTR,default,Letisko Airport,Boleraz,SK,Europe/Bratislava,0,48.4557991028,17.5263996124
LZTT,TAT,Poprad-Tatry Airport,Poprad,SK,Europe/Bratislava,0,49.073600769,20.2411003113
LZZI,ILZ,Zilina Airport,Zilina,SK,Europe/Bratislava,0,49.2314987183,18.6135005951
MA07,default,Friends Ultralightport,Westport,US,America/New_York,0,41.5676002502,-71.1192016602
MA16,default,Marshall's Airport,Holden,US,America/New_York,0,42.3633995056,-71.8217010498
MA18,default,Cmelak Field,Sheffield,US,America/New_York,0,42.0791015625,-73.3071975708
MA19,default,Berlin Lndg Area,Berlin,US,America/New_York,0,42.3675994873,-71.6417007446
MA30,default,Dresser Hill Airport,Charlton,US,America/New_York,0,42.1001014709,-71.9662017822
MA36,default,Snow Airport,Ipswich,US,America/New_York,0,42.6665000916,-70.8529968262
MA43,default,Morehaven Airport,Granville,US,America/New_York,0,42.0722999573,-72.900100708
MA44,default,Trade Wind Airport,Oak Bluffs,US,America/New_York,0,41.4417991638,-70.5702972412
MA52,default,Sids Airport,Maynard,US,America/New_York,0,42.4381713867,-71.4702453613
MA53,default,Ware Airport,Ware,US,America/New_York,0,42.2820014954,-72.2147979736
MA55,default,Muskeget Island Airport,Muskeget Island,US,America/New_York,0,41.3348007202,-70.2994995117
MA63,default,Sherman-Private Airport,Pembroke,US,America/New_York,0,42.0740013123,-70.7981033325
MA64,default,Pheasant Field,Pembroke,US,America/New_York,0,42.0754013062,-70.8152999878
MA66,default,Wolomolopoag STOLport,Sharon,US,America/New_York,0,42.1007003784,-71.2078018188
MA70,default,Sudbury Airport,Sudbury,US,America/New_York,0,42.3508987427,-71.4298019409
MA72,default,Tuckernuck Airport,Tuckernuck Island,US,America/New_York,0,41.2975006104,-70.2603988647
MA75,default,Sky Glen Airport,Uxbridge,US,America/New_York,0,42.0409011841,-71.6162033081
MA77,default,Blueberry Hill Airport,Washington,US,America/New_York,0,42.3750991821,-73.1475982666
MA80,default,Mundale Airport,Westfield,US,America/New_York,0,42.1198005676,-72.8143005371
MA86,default,Kendalls Lndg Area Airport,Windsor,US,America/New_York,0,42.5055999756,-73.0597991943
MA88,default,Albert Farms Airport,Worthington,US,America/New_York,0,42.3900985718,-72.9309005737
MA89,default,B&B Farm Airport,New Braintree,US,America/New_York,0,42.3460998535,-72.1038970947
MA97,default,Waters Airport,Sutton,US,America/New_York,0,42.1250991821,-71.7397994995
MBAC,default,Ambergris Cay International Airport,Big Ambergris Cay,GB,America/Grand_Turk,0,21.3006333,-71.64115
MBGT,GDT,JAGS McCartney International Airport,Cockburn Town,TC,America/Grand_Turk,0,21.4444999695,-71.1423034668
MBMC,MDS,Middle Caicos Airport,Middle Caicos,TC,America/Grand_Turk,0,21.82602,-71.8025
MBNC,NCA,North Caicos Airport,default,TC,America/Grand_Turk,0,21.9174995422,-71.9395980835
MBPI,PIC,Pine Cay Airport,Pine Cay,TC,America/Grand_Turk,0,21.8999996185,-72.0999984741
MBPV,PLS,Providenciales Airport,Providenciales Island,TC,America/Grand_Turk,0,21.7735996246,-72.2658996582
MBSC,XSC,South Caicos Airport,default,TC,America/Grand_Turk,0,21.5156993866,-71.528503418
MBSY,SLX,Salt Cay Airport,Salt Cay,TC,America/Grand_Turk,0,21.3330001831,-71.1999969482
