icao,iata,name,location,country,timezone,hub,lat,lon
EDTH,default,Heubach Airport,Heubach,DE,Europe/Berlin,0,48.8027763367,9.9274997711
EDTK,default,Karlsruhe-Forchheim Airport,default,DE,Europe/Berlin,0,48.9759368896,8.3423995972
EDTL,LHA,Lahr Airport,default,DE,Europe/Berlin,0,48.3693008423,7.8277201653
EDTM,default,Mengen-Hohentengen Airport,Mengen,DE,Europe/Berlin,0,48.0538902283,9.3727779388
EDTN,default,Nabern/Teck Airport,Nabern,DE,Europe/Berlin,0,48.61277771,9.4772224426
EDTO,default,Offenburg Airport,Offenburg,DE,Europe/Berlin,0,48.4500007629,7.9247221947
EDTP,default,Pfullendorf Airport,Pfullendorf,DE,Europe/Berlin,0,47.9088897705,9.2505559921
EDTQ,default,Pattonville Airport,Pattonville,DE,Europe/Berlin,0,48.8641662598,9.2247219086
EDTR,default,Herten-Rheinfelden Airport,Rheinfelden,DE,Europe/Berlin,0,47.5602798462,7.7483329773
EDTS,default,Schwenningen am Neckar Airport,Villingen-Schwenningen,DE,Europe/Berlin,0,48.0658340454,8.5713891983
EDTU,default,Saulgau Airport,Bad Saulgau,DE,Europe/Berlin,0,48.0294456482,9.5072221756
EDTW,default,Winzeln-Schramberg Airport,Schramberg,DE,Europe/Berlin,0,48.2791671753,8.4283332825
EDTX,default,Schwabisch Hall-Weckrieden Airport,Schwabisch Hall,DE,Europe/Berlin,0,49.1244430542,9.7811107635
EDTY,default,Adolf Wurth Airport,Schwabisch Hall,DE,Europe/Berlin,0,49.1183319092,9.7838888168
EDTZ,default,Konstanz Airport,Konstanz,DE,Europe/Berlin,0,47.6819458008,9.13722229
EDUA,default,Stechow-Ferchesar Airport,Stechow-Ferchesar,DE,Europe/Berlin,0,52.650554657,12.48777771
EDUB,default,Brandenburg-Briest Airport,Brandenburg an der Havel,DE,Europe/Berlin,0,52.4386100769,12.4583330154
EDUC,default,Briesen Brand Airport,default,DE,Europe/Berlin,0,52.0327987671,13.7491998672
EDUF,default,Falkenberg-Lonnewitz Airport,Uebigau-Wahrenbruck,DE,Europe/Berlin,0,51.5477790833,13.228055954
EDUO,default,Oberrissdorf Airport,Lutherstadt Eisleben,DE,Europe/Berlin,0,51.5424995422,11.5958328247
EDUS,default,Finsterwalde/Schacksdorf Airport,Finsterwalde,DE,Europe/Berlin,0,51.6074981689,13.7436113358
EDUW,default,Tutow Airport,Demmin,DE,Europe/Berlin,0,53.9219436646,13.2188892365
EDUY,default,Welzow-Sedlitzer See Airport,Welzow,DE,Europe/Berlin,0,51.5577774048,14.1049995422
EDUZ,default,Zerbst Airport,Zerbst/Anhalt,DE,Europe/Berlin,0,52.000831604,12.1486110687
EDVA,default,Bad Gandersheim Airport,Bad Gandersheim,DE,Europe/Berlin,0,51.8541679382,10.0255556107
